Property area,Type,Floor,Parking,Condition,Furnishing,Included,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Reference number,Postal code,Online viewing,Registration block,Registration number
50,Apartment,,,Under construction,,,,,N/A,1,3600,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5686011,Posted: Yesterday 12:37,180000,3600,Arena Properties,"Posting since feb, 2017","1 bed apartments in Drosia for sale.➢ Class AAA+ Prime Residential Neighborhood.➢ 200 meters to the Salt Lake and Nature.Reserve Park.➢ Communal Park. 50 meters from the project.➢ Ideal for Families.➢ 3 min drive to Metropolis Mall, 2 Km away.➢ Close to Educational Institutions and Local.Amenities.➢ 10 min drive to the airport and Finikoudes/.Mackenzie Beach.• Energy efficiency Class A.• Smart control system “aligned” for use as “provisions” for the below:.1. Lights &amp; Dimmer Switches.2. Smart TV.3. Music Surround System.4. Electric Blinds.5. Shutter Rolex Blinds.6. Oven &amp; Hob.7. Air Condition Units.• Intercom System for each unit.• Provision for Telephone installation &amp; tel. extension in all bedrooms.Provision for the installation of T.V. and extension in all bedrooms.• Superior Light Fittings will be fitted in all balconies.• Common Antenna – Cypriot channels.• Fiber Optic Internet connection.• Provision for Electrical Car Charge.• Photovoltaic System for common areas.• Photovoltaic System for both penthouses, A401 &amp; A402",34.921213235085,33.617787986755,9296,,,,
47,Apartment,,Covered,Under construction,Fully Furnished,,"Full, all rooms",,A,1,3032,1,1-bedroom apartment fоr sаle,"Larnaca, Oroklini",6010982,Posted: Yesterday 12:29,142500,3032,M.Residence Ltd,"Posting since feb, 2017","Discover this stylish 1 bedroom apartment in the sought-after area of Oroklini, offering the perfect blend of modern living, sophisticated design, and superior quality. Ideally located close to all amenities and just a short drive from the beach, this property is an excellent choice for both investment and comfortable living. The apartment comes fully furnished, complete with air-conditioning units and all essential electrical appliances, making it move-in ready. Designed with attention to detail, it features bright, functional spaces, contemporary finishes, and a welcoming atmosphere that combines elegance with practicality. Whether you are looking for a profitable rental investment or a modern home in a prime location, this Oroklini apartment is a rare opportunity not to be missed.",34.9385227,33.635055,11127,,,,
78,Apartment,,Covered,Under construction,Fully Furnished,,"Full, all rooms",,A,2,2436,2,2-bedroom apartment fоr sаle,"Larnaca, Oroklini",6010984,Posted: Yesterday 12:29,190000,2436,M.Residence Ltd,"Posting since feb, 2017","Discover this stylish 2 bedroom apartment in the sought-after area of Oroklini, offering the perfect blend of modern living, sophisticated design, and superior quality. Ideally located close to all amenities and just a short drive from the beach, this property is an excellent choice for both investment and comfortable living. The apartment comes fully furnished, complete with air-conditioning units and all essential electrical appliances, making it move-in ready. Designed with attention to detail, it features bright, functional spaces, contemporary finishes, and a welcoming atmosphere that combines elegance with practicality. Whether you are looking for a profitable rental investment or a modern home in a prime location, this Oroklini apartment is a rare opportunity not to be missed.",34.9395139,33.6360014,11126,,,,
90,Apartment,,No,Resale,,Balcony,"Full, all rooms",,N/A,2,3778,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5766553,Posted: Yesterday 12:24,340000,360000,Marinos Kineyirou Estate Agancies Ltd,"Posting since may, 2017","2 bedroom apartment in Mackenzie area, Larnaca district..It is situated top floor apartment and it consists of 2 bedrooms, 1 bathroom, a kitchen and a living room. It is fully renovated with air-condition system. It also provides balcony with sea view and salt lake view..The area of internal spaces is 90sqm..It is located in very attractive area with all amenities around such us schools, supermarkets, shops, bakeries, restaurants, cafeterias, pharmacies and more. It is very close to international Larnaca airport and it offers very easy access to the main roads of the town and to the motorway network.",34.88880986,33.63750399,183775,,No,,
50,Apartment,2nd,Covered,Under construction,Unfurnished,Elevator,"Full, all rooms",,A,1,3400,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5636588,Posted: Yesterday 12:17,170000,3400,Kalogirou Real Estate,"Posting since mar, 2017","Ultra-Modern, One-Bedroom Apartment for sale in Livadia area, Larnaca. Amazing location, close to all amenities such as schools, supermarkets, banks, coffee shops, pharmacies etc. A short drive to Larnaca Town Center, the harbor and the beach. Very easy access to Larnaca, Nicosia motorway. Larnaca International Airport is only 14 minutes away..Apartment for sale in Livadia area, Larnaca. This amazing property consists of an open plan kitchen and living room with dining area, one bedroom, a bathroom (with shower) and covered veranda. The property has exclusive right of use to a storage and covered parking..This project offers 18 spacious and elegantly designed apartments, built to the highest standards of construction and interior craftsmanship. The residence caters to a wide range of preferences, featuring 1-bedroom and 2-bedroom units, as well as luxurious top floor apartments. This diverse selection ensures that every resident can find their ideal home, perfectly suited to their needs..Extra: Provision A/C, Covered Veranda, Elevator, Storage, Covered Parking",34.94036868735715,33.63103247688991,50312,7060,No,,
76,Apartment,4th,Covered,Under construction,Unfurnished,"Storage room, Elevator","Full, all rooms",,A,2,4211,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Harbor",5636214,Posted: Yesterday 12:17,320000,4211,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, Two Bedroom Flat with Roof Garden in New Marina-Port area, Larnaca. Approximately, 700 m away from the sea. Amazing location, close to all amenities such as supermarkets, schools, shops, banks etc. Just few minutes away from Larnaca Town Center. Easy access to Larnaca, Ayia Napa, Nicosia motorway..Top Floor apartment for sale in New Marina-Port area, Larnaca. The property is on the fourth floor with open concept- kitchen, living room, dining area- a main bathroom with shower, two bedrooms, primary bedroom is en suite with shower, lovely covered veranda and spacious roof garden. The roof garden consists of the veranda, bbq area and jacuzzi. The property has also access to a covered parking and a second storage room..The apartment has provision for an additional bedroom and bathroom..The development boasts 11 spacious and refined apartments in compliance with the finest.calibre of construction and interior. Top floor apartments enjoy private roof gardens while all of them have access to their own covered parking and storage room..Extra: Provision for A/C, Roof Garden, Covered Veranda, Elevator, Storage Room, Covered Parking",34.93148955,33.63429042,50300,6058,No,,
80,Apartment,1st,Covered,Brand new,Fully Furnished,"Pool, Storage room, Elevator","Full, all rooms",,A,2,3063,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",6010933,Posted: Yesterday 12:12,245000,3063,CY Property Group,"Posting since jul, 2022","For sale: A beautifully presented, key-ready two-bedroom apartment in Agioi Anargyroi..This comfortable home offers 80 square meter of internal space, featuring two bedrooms and two modern bathrooms..Situated on the first floor of a three-story building with elevator access, the apartment is designed for convenience and easy living..The property comes fully furnished with tasteful finishes throughout. It offers an open-plan living area, a well-equipped kitchen, and abundant natural light. A central AC system ensures year-round comfort. For added luxury, step outside to your private swimming pool or unwind in your jacuzzi while enjoying lovely city and countryside views..The neighborhood provides easy access to shops, cafés, schools, and public transport, making daily life both convenient and enjoyable..In addition, the apartment includes a covered parking space and a storage room.",,,7002,6053,Yes,,
72,Apartment,1st,Covered,Resale,Semi-Furnished,,"Full, all rooms",1998,N/A,2,1944,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5636862,Posted: Yesterday 12:08,140000,1944,CY Property Group,"Posting since jul, 2022","A bright two-bedroom apartment is available for sale in the desirable area of Sotiros..Residents can enjoy easy access to nearby shops, cafes, restaurants, and recreational facilities. The area also boasts excellent connectivity to main roads and the highway..The apartment is situated on the first floor of the building and consists of an open-plan living space, a combined kitchen and dining area, two spacious bedrooms, a bathroom, and a separate toilet..Additionally, it features a covered veranda of 17 sqm..Moreover, the property includes a covered parking space.",34.93604779386136,33.62499541359787,6247,6056,Yes,,
77,Apartment,1st,Covered,Resale,Fully Furnished,,"Full, all rooms",,N/A,2,2532,1,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5344892,Posted: Yesterday 12:08,195000,2532,CY Property Group,"Posting since jul, 2022","A lovely two bedroom apartment is available for sale in a quiet area in Aradippou, in the Larnaka district. It is conveniently located near various amenities such as schools, supermarkets, banks, cafes, and shops, and is just a few minutes' drive to the beach..The apartment comprises an open-plan living and dining area, a kitchen, two fully furnished bedrooms, a bathroom, and a toilet. Additionally, it features a covered veranda of 20 sqm..The location offers excellent access to main roads and the highway..Furthermore, the apartment includes one covered parking space..Title deed is available.",,,5641,,Yes,,
109,Apartment,,Covered,Resale,Semi-Furnished,,"Full, all rooms",2000,N/A,3,1743,1,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Chrysopolitissa",5477941,Posted: Yesterday 12:08,190000,1743,CY Property Group,"Posting since jul, 2022","A bright three-bedroom apartment is available for sale located in a quite area of Chrysopolitissa in Larnaca district near to a plethora of amenities and services such as schools, supermarkets, bakeries, banks, restaurants, and the sea. The asset has a total internal covered area of 109 sqm..The apartment is partially furnished and consists of an open-plan living area, a combined kitchen and dining area, modern three bedrooms, one bathroom, two toilets, a guest WC, and a jacuzzi..Additionally, it includes one covered parking space as well as a covered veranda..This apartment presents a great investment opportunity with excellent rental potential..Title deed available.",34.92052716936279,33.63307278220474,5043,6015,Yes,,
56,Apartment,1st,Covered,Resale,,"Elevator, Balcony, Storage room",,2024,A,1,2768,1,1-bedroom apartment fоr sаle,"Larnaca, Oroklini",6010905,Posted: Yesterday 12:04,155000,2768,Moneyhill Properties by IPN,"Posting since sep, 2023","Brand new 1 bedroom apartment in Oroklini, not subject to Vat.Building delivered end of 2024. Located in a quiet area, ideal for own use or investment. Less than 2km to the beach. Close to amenities as supermarket, bakery, pharmacy....- Brand new apartment, but not subject to Vat.- 59sqm inside, 6sqm balcony.- Quiet area, very convenient location.- Amenities near by.- Up to 5minutes drive to the beach, 2km distance.- 15 minutes drive to Larnaka city centre.- Easy access to the highway towards Ayia Napa, NIcosia, airport....Registration No: ΕΕ55813.License No: 254/E",34.984117,33.657149,,,Yes,,
106,Apartment,2nd,Covered,Resale,Semi-Furnished,"Pool, Garden, Elevator, Balcony","Full, all rooms",2012,B+,2,1274,1,2-bedroom apartment fоr sаle,"Larnaca, Tersefanou",5909261,Posted: Yesterday 11:55,135000,negotiable,George KOKKINOS,"Posting since feb, 2017","Το διαμέρισμα είναι πλήρως ανακαινισμένο,.πολύ ευρύχωρο, με κοινοχρηστη πισίνα,.Στεγασμένο χώρο σταθμευσής,.Γήπεδο Τέννις, κήπους, και με πόλυ ωραία θέα βουνό και θάλασσα,.και με τίτλο ιδιοκτησίας έτοιμο.",34.85381941696156,33.54778289794923,,7562,Yes,,
40,Apartment,2nd,Uncovered,Resale,Semi-Furnished,Balcony,Partly,Older,N/A,1,2375,1,1-bedroom apartment fоr sаle,"Larnaca, Zygi",5915524,Posted: Yesterday 11:42,95000,negotiable,Marios,"Posting since feb, 2017","1-bedroom renovated apartment 100 meters from Zygi Marina, and 50 meters from the sea.- 1 Bathroom.- Roughly 40 sqm covered area + 5 sqm covered balcony.- A/C in the living room.- Next to amenities, coffee shops, restaurants, fish taverns.No common expenses.2nd floor.No elevator.No light in common areas.Old Building.The flat is located in the back side of the building with no sea view.Available now.Ανακαινισμένο διαμέρισμα 1 υπνοδωματίου 100 μέτρα από τη μαρίνα του Ζυγίου και 50 μέτρα από τη θάλασσα.- 1 μπάνιο.- Περίπου 40 τμ καλυμμένος χώρος + 5 τμ καλυμμένο μπαλκόνι.- A/C στο σαλόνι.- Δίπλα σε ανέσεις, καφετέριες, εστιατόρια, ψαροταβέρνες.Χωρίς κοινόχρηστα.2ος όροφος.Χωρίς ασανσέρ.Χωρίς φως στους κοινόχρηστους χώρους.Παλιό κτήριο.Το διαμέρισμα βρίσκεται στην πίσω πλευρά του κτηρίου χωρίς θέα στη θάλασσα",34.72973855908845,33.34128904962747,,,No,,
99,Apartment,3rd,Uncovered,Resale,Fully Furnished,"Elevator, Alarm, Balcony","Full, all rooms",2008,B+,2,3434,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Harbor",5856088,Posted: Yesterday 10:42,340000,negotiable,Zyprus Property Group,"Posting since feb, 2023","For Sale Stunning 2-Bedroom Apartment with Sea View – Larnaca Marina Area 🌊🏡.Discover your dream home in a peaceful, high-demand neighborhood just steps from the beach and Larnaca Marina. Perfectly positioned near Spyrou Kyprianou–Makariou junction for easy access..✨ Property Highlights:.• 2 Bedrooms | 2 Bathrooms.• 82square meter Indoor + 17square meter Covered Veranda.• 3rd Floor with breathtaking sea views.• Walking distance to Finikoudes beach.• Fully furnished with electrical appliances.• Floor heating & laminated parquet flooring.• Open plan living with fitted kitchen & wardrobes.• BBQ area, elevator, gated building.• Uncovered parking | Built in 2008.• Title deeds available.Bright, spacious, and turnkey — ideal for permanent residence or a holiday retreat!.📲 DM us or call for full details & a private viewing. Don’t miss this opportunity to live by the sea!",34.92192072875937,33.63741293549538,,,,,
88,Apartment,1st,Covered,Brand new,Unfurnished,"Pool, Elevator, Balcony, Storage room","Full, all rooms",2007,A,2,1648,1,2-bedroom apartment fоr sаle,"Larnaca, Oroklini",6010759,Posted: Yesterday 10:40,145000,1648,Andrea,"Posting since oct, 2018",lovely two bedroom flat in a quiet neighborhoud built 2007 88m2.On the first floor with Lift and main entrance..Two balconies.Airconditions and fans with lighting..covered Parcking space with flat number..storage room..Near to all necesities and motorway.,34.984117,33.657149,,,No,,
98,Apartment,1st,Covered,Brand new,,"Elevator, Balcony, Storage room",,2025,A,2,1959,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",6010709,Posted: Yesterday 10:03,192000,1959,Property Masters,"Posting since sep, 2020","✨ Modern 2-Bedroom Apartment | Central Larnaca (VAT APPLIES AND IS NOT INCLUDED IN PRICE).Stylish and well-maintained 2-bedroom, 2-bathroom apartment ideally located in the heart of Larnaca. With its prime central position, the property offers walking-distance access to shops, cafés, schools, and the seafront..📐 Property Details.Bedrooms: 2.Bathrooms: 2 (including 1 en-suite).Open-plan living & dining area.Modern kitchen with quality finishes.Covered veranda.Allocated parking & storage.🌟 Key Features.Contemporary design with natural light.Master bedroom with en-suite.Air-conditioning throughout.Secure building with elevator.Ideal for residence or investment (high rental demand).📍 Location.Located in central Larnaca, offering excellent connectivity and lifestyle convenience. Just minutes away from Finikoudes beach, city center amenities, and the airport..Perfect for investment or private living, combining comfort, convenience, and strong rental potential..Property Masters A.M:1140, A.A:580.MG192D",34.92262200569717,33.62432241439819,,,,,
105,Apartment,1st,Covered,Resale,Fully Furnished,Balcony,"Full, all rooms",1997,B,3,1714,1,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",5958499,Posted: Yesterday 09:57,180000,1714,Maria,"Posting since apr, 2021",A Recently renovated 3 Bedroom Apartment situated near the Mall Area and around 10 minutes driving distance from the center. The Apartment includes a valid separate Title Deed and it is in a very good location in a quiet residential area.,34.92893166572006,33.60969727265421,,6043,No,1,1
78,Apartment,2nd,Covered,Resale,Unfurnished,"Pool, Storage room, Garden, Balcony","Full, all rooms",Older,N/A,2,1218,1,2-bedroom apartment fоr sаle,"Larnaca, Mazotos",6010660,Posted: Yesterday 09:38,95000,1218,NiSea,"Posting since nov, 2024","Discover comfort and convenience in this charming 2-bedroom apartment, located on the 2nd floor of a well-kept residential complex in Mazotos. Designed with functionality in mind, the property features an open-plan living and dining area, a fitted kitchen, two bright bedrooms, and a modern bathroom. A private covered veranda offers space to unwind while enjoying village and countryside views..Residents benefit from access to a communal swimming pool and exclusive use of a covered parking space. The apartment is just 750m from Mazotos community center, 4km from the beach, and 5km from the B5 motorway, combining a peaceful setting with easy connectivity to Larnaca city, the airport, and coastal routes. With a separate title deed in place, this property presents an excellent opportunity for permanent living, holiday use, or rental investment..Internal Area: 68 square meter | Covered Veranda: 5 square meter | Uncovered Veranda: 5 square meter | Title Deed: Available.Key Features:.• 2 Bedrooms | 1 Bathroom.• Open-plan living, dining & kitchen area.• Covered & uncovered veranda.• Communal swimming pool.• Covered parking space.• Quiet residential location.Location Highlights:.• 750m to Mazotos center.• 4km to the beach.• 5km to B5 motorway.• 13km to Larnaca International Airport.• 19km to Larnaca Por",,,NIS16477,,,,
76,Apartment,1st,Uncovered,Resale,Fully Furnished,Balcony,"Full, all rooms",2006,N/A,2,2303,1,2-bedroom apartment fоr sаle,"Larnaca, Perivolia Larnakas",5857539,Posted: Yesterday 09:33,175000,2303,Urban Forsberg,"Posting since jun, 2025","🏠 For Sale by Owner – 2-Bedroom Apartment in Possidon Beach Gardens, Pervolia.📍 Location: Possidon Beach Gardens, Pervolia.💰 Price: Euro175,000.📐 Covered Area: 76 square meter.🛋️ Covered Veranda: 10 square meter.🛏️ Bedrooms: 2 (second bedroom has folding wall – can be opened into the living area).🚿 Bathroom: 1.🏖️ Distance to Beach: 200 m.✈️ Distance to Airport: 10 minutes.🏙️ Distance to Larnaka: 20 minutes.🔹 Fully furnished.🔹 Apartment and furnishings in very good condition.🔹 Spacious balcony with views over green areas.🔹 Quiet and well-maintained complex.🔹 Ideal for holiday use, permanent living, or rental investment.📞 Direct sale by owner – no agents.📩 For more information or to arrange a viewing, please contact via message.",34.83767969943652,33.60740303993225,,7560,,,
76,Apartment,,,Resale,,,,2006,N/A,2,2303,1,2-bedroom apartment fоr sаle,"Larnaca, Perivolia Larnakas",5650431,Posted: Yesterday 09:32,175000,2303,Arena Properties,"Posting since feb, 2017","2-Bedroom Apartment for Sale in Pervolia, Larnaca – Just Steps from the Sea!.This charming 2-bedroom apartment, located on the 1st floor, offers the perfect blend of comfort and coastal living. Situated just 100 meters from the sea, it’s an ideal choice for those seeking a serene seaside retreat or a lucrative investment property..Key Features:.Covered Area: 76square meter of well-designed living space..Covered Veranda: 10square meter, perfect for relaxing or entertaining while enjoying the sea breeze..Proximity to Amenities: Only 10 km from Larnaca International Airport, ensuring convenience for travelers..Title Deeds Available: Offering a secure and straightforward transaction..Nestled in the picturesque village of Pervolia, this property provides easy access to local taverns, shops, and the beautiful coastline. Whether you’re looking for a holiday home, permanent residence, or an investment opportunity, this apartment checks all the boxes..Don’t miss out on this exceptional property – schedule your viewing today!",34.838181636861,33.608379364014,8957,,,,
108,Apartment,,,Resale,,,,2007,N/A,3,1667,2,3-bedroom apartment fоr sаle,"Larnaca, Kiti",5778948,Posted: Yesterday 09:31,180000,195000,Arena Properties,"Posting since feb, 2017","3-Bedroom Apartment for Sale in Kiti, Larnaca.This spacious 1st-floor apartment in the charming coastal town of Kiti, Larnaca, offers modern comfort and convenience. With a covered area of 108square meter and a large 33square meter veranda, this home provides ample space for relaxation and entertaining..Key Features:.✔ 3 Bedrooms – Comfortable living with plenty of natural light.✔ 2 Bathrooms – Modern fixtures for convenience.✔ Elevator Access – Easy reach to the 1st floor.✔ Covered Parking – Secure and shaded parking space.✔ Energy Efficiency Class 'B' – Lower utility costs.✔ Title Deeds Available – Hassle-free ownership transfer.Prime Location:.Just 2.6km to the Sea – Enjoy easy access to beaches &amp; coastal walks.Only 8km to Larnaca Airport – Ideal for frequent travelers.Close to local amenities, shops, and dining options.Perfect for families or investors, this well-maintained apartment combines comfort, convenience, and a fantastic location..Contact us today to arrange a viewing! 🏡",34.8464781,33.5727305,9449,,,,
146,Apartment,,,Under construction,,,,,N/A,4,4247,4,4-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",5778936,Posted: Yesterday 09:31,620000,4247,Arena Properties,"Posting since feb, 2017","4 Bed Penthouse in Larnaca Center for sale.The Project is a 5 storey development comprising of 11 units. The project has a selection of 2 and 3 bedroom apartments including 4 bedroom penthouse apartments, with private roof garden..This luxury development offers city center living at its best within walking distance to schools, supermarkets and you can enjoy the quietness of the Center while being a part of it..Project is located in the heart of Larnaca and is only a 15 minute drive to Phinikoudes promenade and the beach (Blue Flag)..Superb architecture.Modern sized windows, providing stunning views.Video intercom system.Private parking",34.9182222,33.6200625,9486,,,,
98,Apartment,,,Under construction,,,,,N/A,3,2602,2,3-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5778928,Posted: Yesterday 09:31,255000,2602,Arena Properties,"Posting since feb, 2017","3 Bed Penthouse in Livadia for sale.The new project is located in Livadia. The modern design of the apartment building emphasizes detail and ensures residents’ privacy. It is a two-story building with fifteen comfortable and contemporary apartments. The building is divided into two complexes, one with nine apartments and the other with six, each with its own independent entrance, providing full autonomy..Each apartment includes a covered parking space and a storage room. The project results from the coordinated design efforts of an experienced team of architects, civil engineers, and interior designers..&nbsp;",34.9490765,33.6275272,9463,,,,
108,Apartment,,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony",,2025,N/A,3,3009,2,3-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5992696,Posted: Yesterday 09:27,325000,3009,Investia Estate Agents Ltd,"Posting since feb, 2019","Location: New Hospital area.• 1 & 3 bedroom Apartments.• Marble & HPL Surfaces.• Spacious Apartments.• Whole floor apartments.• Close to all amenitites.• 2km from the beach.PRICES: 1 BDRM APTS SOLD.3 BDRM APT FOR 325,000 & VAT ( 108SQM & 22.35SQM VERANDAS).Under Construction: Completion NOV 25",34.9213662368958,33.60505658635167,14751,6043,,,
80,Apartment,,Covered,Under construction,,"Alarm, Balcony",,,A,2,2750,3,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",6010557,Posted: Yesterday 07:13,220000,2750,MySpace Real Estate,"Posting since may, 2023","2 Bedroom apartment with Premium Amenities.Residents enjoy access to exclusive on-site amenities including a communal swimming pool and a fully equipped gym, enhancing both lifestyle and well-being..Built in accordance with earthquake-resistant building regulations to ensure durability and safety..Walls.External walls: 300 mm thick, constructed with high-quality heat-insulating bricks.Internal walls: 100 mm thick masonry for efficient space and sound separation.Thermal Insulation & Waterproofing.Roof: Insulated with 8 cm extruded polystyrene, finished with screed and 4 mm bitumen waterproofing.External walls: Protected with 8 cm expanded polystyrene thermal insulation.Terraces: Waterproofed using a 2-component cement-based solution.Flooring.Common areas and stairs: High-quality ceramic tiles.Kitchens, living rooms, bathrooms: Ceramic tiles (Euro15.00per square meter allowance).Bedrooms: Option for laminate parquet flooring at Euro15.00per square meter.Wall Finishes.Interior walls: Finished with three layers of emulsion paint for a smooth, modern look.Exterior walls: Coated with three layers of high-performance waterproof paint",,,236727,7060,,,
80,Penthouse,,Covered,Resale,,Alarm,,2000,N/A,2,7250,1,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Finikoudes",6010558,Posted: Yesterday 07:13,580000,7250,MySpace Real Estate,"Posting since may, 2023","2-Bedroom Top-Floor Coastal Retreat – Beachfront Apartment on Finikoudes Promenade.Location.Set directly on the iconic Finikoudes Promenade, this apartment offers an unparalleled opportunity to enjoy true beachfront living in the heart of Larnaca. Positioned on the 7th (top) floor of a luxury seafront complex, it boasts uninterrupted panoramic views of the Mediterranean Sea while placing restaurants, cafes, shops, and essential services just steps from your door..Living & Dining.The open-plan living and dining area is designed to maximize space, comfort, and natural light. Expansive sliding doors frame sweeping views of the sea and lead out to two private balconies—perfect for morning coffee, sunset cocktails, or quiet evenings overlooking the promenade. The layout fosters a seamless flow between indoor relaxation and outdoor living..Kitchen.Integrated into the living space, the modern kitchen is both functional and stylish. Outfitted with sleek cabinetry, premium countertops, and high-tech appliances, it is equally suited for everyday meals or entertaining in style..Bedrooms.The apartment features two well-appointed bedrooms, each designed with comfort and privacy in mind. Large windows make the rooms bright and inviting, while clean contemporary finishes enhance the serene coastal ambiance..Bathroom.A modern bathroom, finished with premium tiling and elegant fixtures, provides both practicality and style. Solar water heating ensures efficient energy use, aligning comfort with sustainability..Comfort & Features.Fully furnished with contemporary interiors.Equipped with high-tech electrical appliances.A/C units installed in all areas for year-round comfort.Two private balconies with direct sea views.Solar water heating system for efficiency.Lifestyle.This residence is ideal for those seeking a balance of cosmopolitan vibrancy and coastal tranquility. Perfect as a permanent home, refined holiday retreat, or an attractive rental investment, it offers immediate occupancy and a lifestyle where the sea is your constant backdrop.",34.91979471571174,33.63195315559661,237225,,,,
82,Penthouse,,Covered,Brand new,Unfurnished,"Storage room, Elevator, Balcony",,2025,N/A,2,3354,2,2-bedroom penthouse fоr sаle,"Larnaca, Livadia Larnakas",5997532,Posted: Yesterday 07:02,275000,3354,Investia Estate Agents Ltd,"Posting since feb, 2019","A brand-new residential project in Livadia, Larnaca, offering modern apartments with full electrical appliances included..All 1-bedroom units are reserved, leaving a unique opportunity to own a 2-bedroom penthouse featuring spacious interiors, large verandas, and a private roof garden..This residence combines comfort with practicality, making it ideal as a permanent home, a holiday retreat, or a strong rental investment. With its modern finishes and ready-to-move-in status, it is an excellent choice for buyers seeking immediate living or return on investment..Currently available:.2-Bedroom Penthouse: Euro275,000 + VAT.82 square meter internal area.20 square meter covered verandas.51 square meter private roof garden",34.953862210975,33.633169396955,12498,7060,,,
50,Apartment,,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony",,,N/A,1,3100,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Tsakilero",5997533,Posted: Yesterday 07:02,155000,3100,Investia Estate Agents Ltd,"Posting since feb, 2019","Modern residential development located near Salamina Stadium, offering a variety of 1, 2, and 3-bedroom apartments with spacious layouts, granite & HPL surfaces, and optional smart home technology..Perfectly positioned close to all essential amenities, schools, shops, and the city center, the project offers both convenience and comfort..Available Units:.1-Bedroom Apartments starting from Euro155,000 + VAT.• 50 square meter internal area.• 7.7 square meter covered veranda.Completion Date: July 2026",34.92999219815676,33.61326987068421,13445,,,,
