Property area,Type,Floor,Parking,Condition,Furnishing,Included,Online viewing,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Reference number,Postal code,Registration block,Registration number
50,Apartment,,Covered,Under construction,,"Pool, Storage room, Elevator, Balcony",,,,A,1,3740,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5714051,Posted: 21.09.2025 16:33,187000,3740,MySpace Real Estate,"Posting since may, 2023","1-Bedroom Apartment – A Modern Urban Retreat.This apartment is an ideal choice for individuals or couples who appreciate a smart, stylish, and comfortable living environment..Living Room: The open-plan living space is bright and airy, thanks to large windows that fill the room with natural light. It is perfectly suited for relaxation after a busy day or entertaining a guest in a cozy yet elegant setting..Kitchen & Dining: Designed for both practicality and style, the modern kitchen features high-quality cabinetry and finishes, offering plenty of storage and workspace. The dining area flows seamlessly into the living space..Bedroom: A private sanctuary with generous wardrobe space, soft lighting, and a calming atmosphere—crafted to be the perfect retreat for restful nights..Bathroom: Finished with contemporary European ceramics and fixtures, combining functionality with a spa-like aesthetic..Balcony: Extends the living space outdoors, ideal for enjoying morning coffee or evening relaxation with views over the city or pool area..This apartment combines affordability with elegance, making it highly attractive for professionals, students at AUCY, or investors seeking rental income.",,,232980,,,
50,Apartment,,Covered,Under construction,,"Pool, Storage room, Elevator, Balcony",,,,A,1,3740,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5714051,Posted: 21.09.2025 16:33,187000,3740,MySpace Real Estate,"Posting since may, 2023","1-Bedroom Apartment – A Modern Urban Retreat.This apartment is an ideal choice for individuals or couples who appreciate a smart, stylish, and comfortable living environment..Living Room: The open-plan living space is bright and airy, thanks to large windows that fill the room with natural light. It is perfectly suited for relaxation after a busy day or entertaining a guest in a cozy yet elegant setting..Kitchen & Dining: Designed for both practicality and style, the modern kitchen features high-quality cabinetry and finishes, offering plenty of storage and workspace. The dining area flows seamlessly into the living space..Bedroom: A private sanctuary with generous wardrobe space, soft lighting, and a calming atmosphere—crafted to be the perfect retreat for restful nights..Bathroom: Finished with contemporary European ceramics and fixtures, combining functionality with a spa-like aesthetic..Balcony: Extends the living space outdoors, ideal for enjoying morning coffee or evening relaxation with views over the city or pool area..This apartment combines affordability with elegance, making it highly attractive for professionals, students at AUCY, or investors seeking rental income.",,,232980,,,
85,Penthouse,,No,Resale,,Elevator,,,,A,2,3529,,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5418817,Posted: 20.09.2025 10:03,300000,3529,MySpace Real Estate,"Posting since may, 2023","Discover the epitome of luxury living in this stunning 2-bedroom penthouse for sale in Larnaca. Fully furnished with modern elegance, this exquisite residence boasts spacious interiors, high-end finishes. Enjoy the convenience of a contemporary kitchen, stylish living areas, and two beautifully appointed bedrooms. Step outside to your private terrace, perfect for entertaining or relaxing while taking in the panoramic cityscape. Situated in a prime location, this penthouse offers easy access to local amenities, pristine beaches, and vibrant cultural attractions. Don't miss the opportunity to own a piece of paradise in Larnaca.",,,231349,,,
85,Penthouse,,No,Resale,,Elevator,,,,A,2,3529,,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5418817,Posted: 20.09.2025 10:03,300000,3529,MySpace Real Estate,"Posting since may, 2023","Discover the epitome of luxury living in this stunning 2-bedroom penthouse for sale in Larnaca. Fully furnished with modern elegance, this exquisite residence boasts spacious interiors, high-end finishes. Enjoy the convenience of a contemporary kitchen, stylish living areas, and two beautifully appointed bedrooms. Step outside to your private terrace, perfect for entertaining or relaxing while taking in the panoramic cityscape. Situated in a prime location, this penthouse offers easy access to local amenities, pristine beaches, and vibrant cultural attractions. Don't miss the opportunity to own a piece of paradise in Larnaca.",,,231349,,,
143,Penthouse,,No,Resale,,Elevator,,"Full, all rooms",2023,A,2,2552,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5953154,Posted: 20.09.2025 10:00,365000,2552,MySpace Real Estate,"Posting since may, 2023","Penthouse for sale in central Larnaca Featuring salt lake views and mountains and all year around full sunsets this unique penthouse on a brand new luxurious building is located in the privileged Faneromeni area of Larnaca and within walking distance to the shops, cafes and the famous Finikoudes beach promenade..The luxurious penthouse is brand new and comprises of an open plan kitchen, living and dining area, two bedrooms with fitted wardrobes, an en-suite in the master bedroom and a family bathroom. The modern design makes excellent use of features like top-quality Italian ceramic finish, full smart home top brand electrical appliances and ac units, unique glass balconies and clever layout of living areas designed to offer optional space and privacy..The property features 2 verands on the main level a roof garden. covered parking space and a storage room. Plumbing Provision for ensuite bathroom on roof garden plus Room.",,,238725,6035,,
143,Penthouse,,No,Resale,,Elevator,,"Full, all rooms",2023,A,2,2552,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5953154,Posted: 20.09.2025 10:00,365000,2552,MySpace Real Estate,"Posting since may, 2023","Penthouse for sale in central Larnaca Featuring salt lake views and mountains and all year around full sunsets this unique penthouse on a brand new luxurious building is located in the privileged Faneromeni area of Larnaca and within walking distance to the shops, cafes and the famous Finikoudes beach promenade..The luxurious penthouse is brand new and comprises of an open plan kitchen, living and dining area, two bedrooms with fitted wardrobes, an en-suite in the master bedroom and a family bathroom. The modern design makes excellent use of features like top-quality Italian ceramic finish, full smart home top brand electrical appliances and ac units, unique glass balconies and clever layout of living areas designed to offer optional space and privacy..The property features 2 verands on the main level a roof garden. covered parking space and a storage room. Plumbing Provision for ensuite bathroom on roof garden plus Room.",,,238725,6035,,
84,Apartment,2nd,Covered,Resale,,"Storage room, Balcony",,"Full, all rooms",,N/A,2,2060,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",6000543,Posted: 19.09.2025 15:47,173000,2060,KW SEVEN,"Posting since sep, 2018","Apartment For sale, floor: 2nd, in Aradipou. The Apartment is 84 sq.m.. It consists of: 2 bedrooms (1 Master), 2 bathrooms, 2 wc, 1 kitchens, 1 living rooms, while it has the following parkings: 1 Pilotis space, Air conditioning are also available, it has Alluminum frames, the energy certificate is: Not required and its floors are Tiles, Storage, Security door. Price: Euro173.000. KW Seven Cyprus, contact phone: +35770001007, email: kwseven@kwcyprus.com, website:",34.95016691793674,33.59346894707771,1796910,,,
84,Apartment,2nd,Covered,Resale,,"Storage room, Balcony",,"Full, all rooms",,N/A,2,2060,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",6000543,Posted: 19.09.2025 15:47,173000,2060,KW SEVEN,"Posting since sep, 2018","Apartment For sale, floor: 2nd, in Aradipou. The Apartment is 84 sq.m.. It consists of: 2 bedrooms (1 Master), 2 bathrooms, 2 wc, 1 kitchens, 1 living rooms, while it has the following parkings: 1 Pilotis space, Air conditioning are also available, it has Alluminum frames, the energy certificate is: Not required and its floors are Tiles, Storage, Security door. Price: Euro173.000. KW Seven Cyprus, contact phone: +35770001007, email: kwseven@kwcyprus.com, website:",34.95016691793674,33.59346894707771,1796910,,,
92,Apartment,1st,Covered,Brand new,Unfurnished,"Elevator, Balcony, Storage room",No,No,2025,A,2,2011,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5998042,Posted: 17.09.2025 23:00,185000,2011,Sotos Properties Ltd,"Posting since mar, 2017","2-bedroom apartment for sale in Prime area in Livadia/Larnaca..DELIVERY DATE:.OCTOBER 2025.At a 5 minute drive to the Sea and the upcoming *Land of tomorrow* project you can find this 2 bedroom flat, ideal for families, professionals and investment..Specifications:.Covered area: 76m2.Uncovered veranda: 16m2.Parking: 12m2.Store: 8m2.Floor: 1st floor.Price: Euro185,000 + VAT",34.95138186973129,33.63445329999989,RN/SPSI /05,,,
92,Apartment,1st,Covered,Brand new,Unfurnished,"Elevator, Balcony, Storage room",No,No,2025,A,2,2011,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5998042,Posted: 17.09.2025 23:00,185000,2011,Sotos Properties Ltd,"Posting since mar, 2017","2-bedroom apartment for sale in Prime area in Livadia/Larnaca..DELIVERY DATE:.OCTOBER 2025.At a 5 minute drive to the Sea and the upcoming *Land of tomorrow* project you can find this 2 bedroom flat, ideal for families, professionals and investment..Specifications:.Covered area: 76m2.Uncovered veranda: 16m2.Parking: 12m2.Store: 8m2.Floor: 1st floor.Price: Euro185,000 + VAT",34.95138186973129,33.63445329999989,RN/SPSI /05,,,
76,Apartment,2nd,,Resale,Fully Furnished,,No,"Full, all rooms",Older,N/A,2,1974,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Harbor",5996413,Posted: 17.09.2025 11:13,150000,1974,SZ,"Posting since feb, 2017","🏢 Top-Floor, Fully Renovated 2-Bedroom Apartment – For Sale.📍 New Marina Area, Larnaca Town – Next to Radisson Blu.Looking for a smart investment opportunity?.This beautifully renovated top-floor apartment is located in one of Larnaca’s most promising areas, just steps away from the New Marina and New Port. 🌊⚓.✨ Property Features.🛏️ 2 Bedrooms.🛋️ Bright Living Room.🍽️ Separate Kitchen (with appliances).🚿 1 Shower Room.🚽 1 WC.🪑 Fully Furnished – All furniture included in the price.❄️ A/C Units in All Rooms.📐 Interior Area: 67 sq.m.🧱 Covered Verandas: 9 sq.m.Total Covered Area: 76 sq.m.🚫 No Elevator.📍 Prime Location.Next to Radisson Blu.Short walking distance to the New Marina & New Port",34.9311193234724,33.63739013671875,,,,
80,Apartment,1st,Covered,Resale,Fully Furnished,,Yes,"Full, all rooms",1994,N/A,2,1925,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5908444,Posted: 16.09.2025 21:10,154000,165000negotiable,Γιωργος,"Posting since dec, 2020","🏡 For Sale: Modern 2-Bedroom Apartment | Euro154,000 no VAT.Discover comfort and convenience in this beautifully maintained 2-bedroom, 2-bathroom apartment located in a prime area close to all essential amenities..📐 Details:.• 80 sqm internal space.• 15 sqm covered verandas.• Covered parking space.• Fully furnished with brand new electrical appliances – move-in ready!.🛏️ Two spacious bedrooms.🛁 Two bathrooms.📍 Superb Location – Just steps away from a:.• Supermarket.• Kiosk.• Mall.• Pharmacy.• Hospital.Whether you’re a first-time buyer, investor, or looking for a stylish home near everything, this apartment offers excellent value..💶 Asking Price: Euro154,000 (no VAT).📞 Contact now to arrange a viewing and make this exceptional apartment yours!.🏡 ΠΩΛΕΙΤΑΙ: Σύγχρονο Διαμέρισμα 2 Υπνοδωματίων | Euro154.000 – Χωρίς Φ.Π.Α..Ανακαλύψτε την άνεση και την ευκολία σε αυτό το κομψό διαμέρισμα 2 υπνοδωματίων και 2 μπάνιων, σε εξαιρετική τοποθεσία κοντά σε όλες τις βασικές ανέσεις..📐 Χαρακτηριστικά Ακινήτου:.• 80 τ.μ. εσωτερικοί χώροι.• 15 τ.μ. καλυμμένες βεράντες.• Καλυμμένος χώρος στάθμευσης.• Πλήρως επιπλωμένο με καινούργιες ηλεκτρικές συσκευές – έτοιμο για άμεση κατοίκηση.• Δεν υπόκειται σε Φ.Π.Α..🛏️ Δύο ευρύχωρα υπνοδωμάτια.🛁 Δύο μπάνια.📍 Προνομιακή Τοποθεσία – Σε κοντινή απόσταση από:.• Υπεραγορά.• Περίπτερο.• Εμπορικό Κέντρο.• Φαρμακείο.• Νοσοκομείο.Ιδανικό για ιδιοκατοίκηση ή επένδυση!.💶 Τιμή Πώλησης: Euro154.000 (Χωρίς Φ.Π.Α.).📞 Μη χάσετε αυτή την ευκαιρία! Επικοινωνήστε μαζί μας για να κλείσετε ραντεβού και να το δείτε από κοντά.",34.93220204153142,33.61558545380831,,6052,,
81,Apartment,2nd,Covered,Brand new,Unfurnished,"Elevator, Balcony, Storage room",,No,2023,A,2,2284,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5973096,Posted: 16.09.2025 14:13,185000,negotiable,Abraj Developments,"Posting since jul, 2025","For Sale – 2-Bedroom Apartment in Abraj 112, Larnaca.Spacious and bright, this unfurnished 2-bedroom, 2-bathroom apartment is located in Abraj 112 building. It includes a private parking space and a storage room, offering both comfort and practicality. Conveniently situated near key amenities, shops, and the Larnaca Marina area.",34.94035363162698,33.6202713443682,,,,
81,Apartment,2nd,Covered,Brand new,Unfurnished,"Elevator, Balcony, Storage room",,No,2023,A,2,2284,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5973096,Posted: 16.09.2025 14:13,185000,negotiable,Abraj Developments,"Posting since jul, 2025","For Sale – 2-Bedroom Apartment in Abraj 112, Larnaca.Spacious and bright, this unfurnished 2-bedroom, 2-bathroom apartment is located in Abraj 112 building. It includes a private parking space and a storage room, offering both comfort and practicality. Conveniently situated near key amenities, shops, and the Larnaca Marina area.",34.94035363162698,33.6202713443682,,,,
86,Apartment,2nd,Covered,Resale,Fully Furnished,Balcony,Yes,"Full, all rooms",1998,B+,3,1570,1,3-bedroom apartment fоr sаle,"Larnaca, Oroklini",5249209,Posted: 15.09.2025 19:06,135000,negotiable,Inna,"Posting since nov, 2018","Nice fully renovated and full furnished 3 bedroom apartment in amazing Oroklini village. Building consist of 2 floors and located in walking distance from the shops, schools, bank, pharmacies and etc..5 min drive to the sea, exit to the high way Limassol or Agia Napa.",34.98412219826401,33.65510368908996,,7040,,
94,Apartment,1st,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",Yes,No,,A,2,1862,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5539115,Posted: 20.08.2025 17:24,175000,1862,A&T OASIS LUXURY HOUSES LTD,"Posting since feb, 2021","Oasis Luxury Houses with pleasure introduces its new under construction project ""OASIS Blue Diamond Residence""💎.A residential building situated in Aradippou Rizoelia forest area with spectacular views of the forest and the city and close to all amenities. The building consists of 8 apartments..👉For sale is the 2 Bedroom Apartment on first floor with number 104 and the following features:.Bedrooms: 2.Bathrooms: 2.Covered Internal Area: 78m2.Spacious Covered Veranda: 12 m2.Storage room: 3 m2.Covered parking area 12m2.- FOR ONLY EUR175,000 + VAT🔥.Elevate Your Lifestyle:.This 2-bedroom apartment in Aradippou, is designed to redefine your living experience. Immerse yourself in the epitome of elegance, where every detail has been carefully crafted for your comfort and delight..Exclusive Amenities:.💎Storage Room:.Keep your living space organized storage at the ground floor..💎Provision for A/C:.Stay comfortable in all seasons with pre-installed air conditioning provisions..💎Presurized System:.Enjoy consistent water pressure, ensuring your daily comfort..💎Luxurious Finishes:.Double Glazing: Experience serenity within your urban oasis, shielded from noise for undisturbed living..💎Granite Countertops:.Revel in the timeless elegance and durability of granite in your kitchen..💎High-Quality Wardrobes:.Organize your belongings with style in spacious, top-quality wardrobes..💎Thermal-Insulated Bricks:.Enjoy optimal temperature control and energy efficiency in every corner of your home..💎Outdoor Bliss:.Veranda: Unwind and breathe in fresh air in your private balcony space, offering a seamless blend of indoor and outdoor living..💎Prime Location:.4 Minutes Walking Distance: Explore the Rizoelia forest and nearby supermarkets, restaurants, coffee shops, pharmacies, bakeries, and parks..5 Minutes to Aradippou Lyceum..10 Minutes to the Metropolis Mall: Indulge in shopping and entertainment..15 Minutes to Finikoudes and Ermou Square: Immerse yourself in the vibrant city life..10 minutes distance to Primary and high schools..💎Easy Access to Main Roads:.Seamless connectivity to major routes, making your commute effortless..💎Construction Details:.This exquisite house is a testament to superior craftsmanship. Construction is in process, ensuring meticulous attention to detail and the highest construction standards. Your penthouse will be ready to welcome you home by August 2026..💎Secure Your Dream Home:.This is more than just a home; it's a statement of your refined taste and discerning lifestyle. Don't miss this opportunity to elevate your living experience to unparalleled heights..👉Contact us for more details and to arrange an appointment.",34.94289392583006,33.58112870770323,,,,
94,Apartment,1st,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",Yes,No,,A,2,1862,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5539115,Posted: 20.08.2025 17:24,175000,1862,A&T OASIS LUXURY HOUSES LTD,"Posting since feb, 2021","Oasis Luxury Houses with pleasure introduces its new under construction project ""OASIS Blue Diamond Residence""💎.A residential building situated in Aradippou Rizoelia forest area with spectacular views of the forest and the city and close to all amenities. The building consists of 8 apartments..👉For sale is the 2 Bedroom Apartment on first floor with number 104 and the following features:.Bedrooms: 2.Bathrooms: 2.Covered Internal Area: 78m2.Spacious Covered Veranda: 12 m2.Storage room: 3 m2.Covered parking area 12m2.- FOR ONLY EUR175,000 + VAT🔥.Elevate Your Lifestyle:.This 2-bedroom apartment in Aradippou, is designed to redefine your living experience. Immerse yourself in the epitome of elegance, where every detail has been carefully crafted for your comfort and delight..Exclusive Amenities:.💎Storage Room:.Keep your living space organized storage at the ground floor..💎Provision for A/C:.Stay comfortable in all seasons with pre-installed air conditioning provisions..💎Presurized System:.Enjoy consistent water pressure, ensuring your daily comfort..💎Luxurious Finishes:.Double Glazing: Experience serenity within your urban oasis, shielded from noise for undisturbed living..💎Granite Countertops:.Revel in the timeless elegance and durability of granite in your kitchen..💎High-Quality Wardrobes:.Organize your belongings with style in spacious, top-quality wardrobes..💎Thermal-Insulated Bricks:.Enjoy optimal temperature control and energy efficiency in every corner of your home..💎Outdoor Bliss:.Veranda: Unwind and breathe in fresh air in your private balcony space, offering a seamless blend of indoor and outdoor living..💎Prime Location:.4 Minutes Walking Distance: Explore the Rizoelia forest and nearby supermarkets, restaurants, coffee shops, pharmacies, bakeries, and parks..5 Minutes to Aradippou Lyceum..10 Minutes to the Metropolis Mall: Indulge in shopping and entertainment..15 Minutes to Finikoudes and Ermou Square: Immerse yourself in the vibrant city life..10 minutes distance to Primary and high schools..💎Easy Access to Main Roads:.Seamless connectivity to major routes, making your commute effortless..💎Construction Details:.This exquisite house is a testament to superior craftsmanship. Construction is in process, ensuring meticulous attention to detail and the highest construction standards. Your penthouse will be ready to welcome you home by August 2026..💎Secure Your Dream Home:.This is more than just a home; it's a statement of your refined taste and discerning lifestyle. Don't miss this opportunity to elevate your living experience to unparalleled heights..👉Contact us for more details and to arrange an appointment.",34.94289392583006,33.58112870770323,,,,
67,Apartment,4th,No,Resale,Fully Furnished,"Elevator, Balcony",No,"Full, all rooms",Older,B,1,3284,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Finikoudes",6012435,Posted: Today 10:43,220000,negotiable,Diana A.,"Posting since sep, 2025","Looking for a home by the beach or a smart investment opportunity? This charming 1-bedroom apartment offers both..Nestled just 2 minutes’ walk from the famous Finikoudes Beach and promenade, this apartment combines comfort with convenience. It comes fully furnished with all the essentials, so you can move right in or start renting immediately..Step outside your door and you’ll find yourself surrounded by Larnaca’s best attractions:.-5 minutes’ walk to St. Lazarus Church and the Medieval Castle.-Right in the middle of vibrant shops, cafés, bars, and restaurants.-A bus stop just 1 minute away, connecting you easily to the rest of the city and beyond.The interior is spacious yet cozy, designed for both relaxation and practicality. Whether you’re looking for a seaside retreat, a long-term home, or a rental investment, this unit ticks all the boxes..With its prime location and high demand, the property is a fantastic choice for generating high returns, both for short- and long-term rentals.",34.91540475183678,33.63648891448975,,6023,4,4469
89,Apartment,2nd,Covered,Brand new,Unfurnished,"Pool, Elevator, Balcony",Yes,"Full, all rooms",,A,2,3202,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",6012382,Posted: Today 10:01,285000,3202,Property Masters,"Posting since sep, 2020","📍 Modern Residential Project – Larnaca.🏗 Property Overview.• Location: Close to schools, shops, and restaurants.• Distance: 1 km from Metropolis Mall, 4 km from New Larnaca Marina & Larnaca International Airport.• Delivery: 2026.• Design: Spacious apartments with comfort & style, built with energy-efficient materials.🏠 Flat 202.• Internal area: 89.2 sqm.• Balconies: 24.7 sqm.🏊 Amenities.• Communal swimming pool.• Deck with sun loungers.• Changing rooms & restrooms.• Small patio area for relaxation & socializing.Price: Euro285.000.Ref: K202672D.For more information, please contact.Property Masters.A.M 1140, A.A580",34.94604293710241,33.59885506425556,,,,
89,Apartment,2nd,Covered,Brand new,Unfurnished,"Pool, Elevator, Balcony",Yes,"Full, all rooms",,A,2,3202,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",6012382,Posted: Today 10:01,285000,3202,Property Masters,"Posting since sep, 2020","📍 Modern Residential Project – Larnaca.🏗 Property Overview.• Location: Close to schools, shops, and restaurants.• Distance: 1 km from Metropolis Mall, 4 km from New Larnaca Marina & Larnaca International Airport.• Delivery: 2026.• Design: Spacious apartments with comfort & style, built with energy-efficient materials.🏠 Flat 202.• Internal area: 89.2 sqm.• Balconies: 24.7 sqm.🏊 Amenities.• Communal swimming pool.• Deck with sun loungers.• Changing rooms & restrooms.• Small patio area for relaxation & socializing.Price: Euro285.000.Ref: K202672D.For more information, please contact.Property Masters.A.M 1140, A.A580",34.94604293710241,33.59885506425556,,,,
59,Apartment,1st,Covered,Under construction,,"Elevator, Balcony",,,,A,1,1746,1,1-bedroom apartment fоr sаle,"Larnaca, Athienou",6012383,Posted: Today 09:59,103000,1746,Nelaza Ltd,"Posting since jul, 2023","Υπό μελέτη νέο έργο στην Αθηένου , επί της οδού Φώτη Πίττα και Παύλου Λιασίδη. Η πολυκατοικία αποτελείται από δυο ορόφους με 10 διαμερίσματα των 1,2 & 3 υπνοδωματίων αντίστοιχα. Διαθέτει καλυμμένο χώρο στάθμευσης και αποθήκη για το καθένα. Πολύ ελκυστικές τιμές κατάλληλο για ιδιοκατοίκηση ή και για επένδυση.",35.05428999757845,33.54100511608774,FC196- 103,,,
59,Apartment,1st,Covered,Under construction,,"Elevator, Balcony",,,,A,1,1746,1,1-bedroom apartment fоr sаle,"Larnaca, Athienou",6012383,Posted: Today 09:59,103000,1746,Nelaza Ltd,"Posting since jul, 2023","Υπό μελέτη νέο έργο στην Αθηένου , επί της οδού Φώτη Πίττα και Παύλου Λιασίδη. Η πολυκατοικία αποτελείται από δυο ορόφους με 10 διαμερίσματα των 1,2 & 3 υπνοδωματίων αντίστοιχα. Διαθέτει καλυμμένο χώρο στάθμευσης και αποθήκη για το καθένα. Πολύ ελκυστικές τιμές κατάλληλο για ιδιοκατοίκηση ή και για επένδυση.",35.05428999757845,33.54100511608774,FC196- 103,,,
89,Apartment,1st,Covered,Under construction,Unfurnished,"Pool, Elevator, Balcony, Storage room",Yes,"Full, all rooms",2025,A,2,3090,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",6012373,Posted: Today 09:56,275000,3090,Property Masters,"Posting since sep, 2020","📍 Modern Residential Project – Larnaca.🏗 Property Overview.• Location: Close to schools, shops, and restaurants.• Distance: 1 km from Metropolis Mall, 4 km from New Larnaca Marina & Larnaca International Airport.• Delivery: 2026.• Design: Spacious apartments with comfort & style, built with energy-efficient materials.🏠 Flat 101.• Internal area: 89.2 sqm.• Balconies: 24.7 sqm.🏊 Amenities.• Communal swimming pool.• Deck with sun loungers.• Changing rooms & restrooms.• Small patio area for relaxation & socializing.Price: Euro275.000.Ref: K202671D.For more information, please contact.☎️.Property Masters.A.M 1140, A.A580",34.94566413035032,33.60043794898761,,,,
89,Apartment,1st,Covered,Under construction,Unfurnished,"Pool, Elevator, Balcony, Storage room",Yes,"Full, all rooms",2025,A,2,3090,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",6012373,Posted: Today 09:56,275000,3090,Property Masters,"Posting since sep, 2020","📍 Modern Residential Project – Larnaca.🏗 Property Overview.• Location: Close to schools, shops, and restaurants.• Distance: 1 km from Metropolis Mall, 4 km from New Larnaca Marina & Larnaca International Airport.• Delivery: 2026.• Design: Spacious apartments with comfort & style, built with energy-efficient materials.🏠 Flat 101.• Internal area: 89.2 sqm.• Balconies: 24.7 sqm.🏊 Amenities.• Communal swimming pool.• Deck with sun loungers.• Changing rooms & restrooms.• Small patio area for relaxation & socializing.Price: Euro275.000.Ref: K202671D.For more information, please contact.☎️.Property Masters.A.M 1140, A.A580",34.94566413035032,33.60043794898761,,,,
94,Apartment,1st,Covered,Under construction,Unfurnished,"Balcony, Storage room",No,No,2025,N/A,2,2074,2,2-bedroom apartment fоr sаle,"Larnaca, Kiti",5850250,Posted: Today 09:53,195000,205000,Stavros Georgiou,"Posting since feb, 2017","2-Bedroom Apartment NO VAT (First Floor) (Apartment No 101).• Covered Space: 79 square meter.• Veranda: 15 square meter.• Storage Space: Included 2.5 square meter.• Parking: Available.Features:.• Spacious two-bedroom apartment with ample living space..• Modern and newly constructed building, expected to be completed soon..• Quiet location just off the main road, with easy access to all amenities like supermarkets, pharmacies, doctors, cafes, and restaurants..• Ideal for families or professionals looking for a comfortable home with convenient access to schools and other services..• Including 2 Bathrooms.• The apartment is not furnished.• When finished title deed will be available.• 5 minutes drive from the beach and easy access to the Larnaca International Airport.Proximity: Located just behind the main road, providing easy access to amenities without the noise of traffic. The area is quickly becoming more popular with new developments, amenities, and services springing up in recent years. Perfect for both residential living and investment opportunity..For more info and price call Stavros Georgiou",34.84479635770714,33.57297420606483,,,,
94,Apartment,1st,Covered,Under construction,Unfurnished,"Balcony, Storage room",No,No,2025,N/A,2,2074,2,2-bedroom apartment fоr sаle,"Larnaca, Kiti",5850250,Posted: Today 09:53,195000,205000,Stavros Georgiou,"Posting since feb, 2017","2-Bedroom Apartment NO VAT (First Floor) (Apartment No 101).• Covered Space: 79 square meter.• Veranda: 15 square meter.• Storage Space: Included 2.5 square meter.• Parking: Available.Features:.• Spacious two-bedroom apartment with ample living space..• Modern and newly constructed building, expected to be completed soon..• Quiet location just off the main road, with easy access to all amenities like supermarkets, pharmacies, doctors, cafes, and restaurants..• Ideal for families or professionals looking for a comfortable home with convenient access to schools and other services..• Including 2 Bathrooms.• The apartment is not furnished.• When finished title deed will be available.• 5 minutes drive from the beach and easy access to the Larnaca International Airport.Proximity: Located just behind the main road, providing easy access to amenities without the noise of traffic. The area is quickly becoming more popular with new developments, amenities, and services springing up in recent years. Perfect for both residential living and investment opportunity..For more info and price call Stavros Georgiou",34.84479635770714,33.57297420606483,,,,
