Reference number,Property area,Type,Parking,Condition,Furnishing,Included,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Floor,Online viewing,Postal code
168402,88,Apartment,Covered,Under construction,Unfurnished,,"Full, all rooms",,A,1,1932,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",5918622,Posted: 24.09.2025 12:10,170000,1932,DOM Real Estate,"Posting since jul, 2019","Apartment for sale in Kamares, Larnaca. The modern apartment is located in a new residential complex — gated, with controlled access, green areas, communal terraces and a rooftop garden with a swimming pool and panoramic views of Larnaca and the Salt Lake. The apartment is made using high-quality materials: porcelain stoneware in the kitchen, bathroom and living room areas, parquet or tiles with a wood effect in the bedrooms. Thermal insulation, the possibility of installing a smart home system, underfloor heating and air conditioning in all rooms are provided. Each apartment is provided with an individual parking space and a storage room. The complex is equipped with a video surveillance system and a photovoltaic system for energy efficiency of common areas.",,,,Yes,4102
SA33167,101,Penthouse,Covered,Under construction,Unfurnished,"Storage room, Balcony",No,,N/A,2,7921,3,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Makenzy",5078457,Posted: 24.09.2025 12:07,800000,7921,N.K. SmartAssets Ltd,"Posting since aug, 2018","Reference ID: #SA33167.Price details: Euro800,000 +VAT.The project will compose of twenty spacious apartments. At the first and second floor will be six apartments of one bedroom and one apartment with 2 bedrooms. From third to sixth floor will be three apartments with 2 bedrooms and 2 bathrooms..The three sixth floor apartemnts of the project will have a private and luxurious penthouses on the seventh floor, with α magical panoramic south-east view of the City of Larnaca just 200 meters from the sea..All energy efficient luxury apartments are designed to have large living areas and balconies along with large bedrooms including en –suite shower rooms and walk-in wardrobes. For those who prefer the top end of luxury they can select to purchase a three bedroom penthouse plus a room on the roof-garden with special features which boast luxury living to its limits..Project has been fully designed and studied by our professional team of Architects, Engineers and Interior Designers. The modern design makes excellent use of features like top quality italian ceramic finish, unique glass balconies and clever layout of living areas designed to offer optional space, privacy and also a views of the prestigious neighbourhood and Famous Larnaca Salt Lake..Available for sale three 2-bedroom penthouse apartments..Covered area: 82-87 sq.m.Covered veranda: 14-24 sq.m..Roof garden: 62-71 sq.m..Completion of Construction date:  December 2024.PLUS V.A.T",,,6th,,
SA35157,226,Penthouse,Covered,Under construction,Unfurnished,"Pool, Storage room, Balcony","Full, all rooms",,N/A,3,14447,2,3-bedroom penthouse fоr sаle,"Larnaca, Livadia Larnakas",5520204,Posted: 24.09.2025 12:06,3265000,14447,N.K. SmartAssets Ltd,"Posting since aug, 2018","Reference ID: #SA35157.Price details: Euro3,265,000 +VAT.Project located in the very exclusive and prestigious Larnaca Marina area and very close the Laranca town center. swaying palms and a beach promenade attracting crowds to Larnaca—and its international airport. .Beyond the coast, pavement cafes, markets, and shops mark the port city a lived-in, local feel..View:  SEA view / PARK view / POOL view Apartments.Facilities: A luxurious lobby, a huge Common swimming pool + Private Pool for specific apartments. Open kids’ playground, gym and padel court..Specifications: Smart home system / electrical underfloor heating (upon request) / mosquito nets in all aluminum profiles / Flooring with the high-quality ceramic (80x80mm) or (100x100mm) or (120x60mm) / Double & thermal glazing windows / Energy efficiency A’ / Three phase electrical supply..Number of apartments:  One tower of 20 floors total 99 apts.                        .Stage of Construction:Under study. Planning permit has been submitted..Covered area: 163 sq.m..Covered veranda: 63 sq.m..uncovered veranda: 18 sq.m..PLUS V.A.T",,,8th and above,,
2634,75,Apartment,Covered,Under construction,Appliances οnly,"Storage room, Elevator, Balcony","Full, all rooms",,In Progress,2,2507,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",6008766,Posted: 24.09.2025 09:35,188000,2507,Property Masters,"Posting since apr, 2019","For sale: Modern two-bedroom apartment currently under construction, offering a comfortable internal space of 75.5 square meter. Located on the first floor of a five-storey building with a convenient elevator, this residence is designed for easy living and access. The layout includes two spacious bedrooms, one contemporary bathroom, and an open-plan living area that welcomes natural light. Enjoy city views that bring life and vibrancy into your home..This apartment is set in Sotiros, a popular and growing residential area known for its friendly community atmosphere. Sotiros offers a blend of quiet streets and urban energy, with many shops, schools, and services just a short walk away. Its location close to the main highway provides easy access to transport, making daily commutes or weekend outings simple and stress-free..Enjoy being near top amenities, while also having the peace of mind that comes from living in a modern, newly built property. Expected completion is in 2026, ensuring all the latest standards in safety and comfort. This property is proudly advertised by Property Masters. Contact us today for more information or to arrange a viewing.",34.919359,33.62444,1st,No,
9294,50,Apartment,,Under construction,,,,,N/A,1,3600,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5683985,Posted: 24.09.2025 09:31,180000,3600,Arena Properties,"Posting since feb, 2017","1 bed apartments in Drosia for sale.➢ Class AAA+ Prime Residential Neighborhood.➢ 200 meters to the Salt Lake and Nature.Reserve Park.➢ Communal Park. 50 meters from the project.➢ Ideal for Families.➢ 3 min drive to Metropolis Mall, 2 Km away.➢ Close to Educational Institutions and Local.Amenities.➢ 10 min drive to the airport and Finikoudes/.Mackenzie Beach.• Energy efficiency Class A.• Smart control system “aligned” for use as “provisions” for the below:.1. Lights &amp; Dimmer Switches.2. Smart TV.3. Music Surround System.4. Electric Blinds.5. Shutter Rolex Blinds.6. Oven &amp; Hob.7. Air Condition Units.• Intercom System for each unit.• Provision for Telephone installation &amp; tel. extension in all bedrooms.Provision for the installation of T.V. and extension in all bedrooms.• Superior Light Fittings will be fitted in all balconies.• Common Antenna – Cypriot channels.• Fiber Optic Internet connection.• Provision for Electrical Car Charge.• Photovoltaic System for common areas.• Photovoltaic System for both penthouses, A401 &amp; A402",34.921213235085,33.617787986755,,,
9117,79,Apartment,Covered,Under construction,Unfurnished,,No,,A,2,3038,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5430213,Posted: 24.09.2025 09:25,240000,3038,M.Residence Ltd,"Posting since feb, 2017","This architectural masterpiece seamlessly blends glass, steel, wood, and concrete, creating a unique urban oasis. The apartments feature spacious layouts, sun-drenched interiors, and generously sized verandas with glass fronts, offering captivating views and ample natural light..Key features include solar energy panels, double-glazed windows, thermal insulation, built-in wardrobes, and designer kitchens and bathrooms, with open-plan layouts perfect for relaxation and entertainment. Enhanced security is provided through a secure entry-phone system, and residents benefit from covered parking spaces and efficient waste management. The building’s thoughtful configuration emphasizes exclusivity and privacy, while its tranquil location offers quick access to major roads. The building epitomizes modern luxury, blending visionary design with lavish interiors for an unparalleled contemporary living experience.",34.9473391,33.5955007,,,
9120,82,Penthouse,Covered,Under construction,Unfurnished,,No,,A,2,3354,2,2-bedroom penthouse fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5430210,Posted: 24.09.2025 09:25,275000,3354,M.Residence Ltd,"Posting since feb, 2017","Penthouse with spacious roof garden in this architectural masterpiece, seamlessly blends glass, steel, wood, and concrete, creating a unique urban oasis. The apartments feature spacious layouts, sun-drenched interiors, and generously sized verandas with glass fronts, offering captivating views and ample natural light. Key features include solar energy panels, double-glazed windows, thermal insulation, built-in wardrobes, and designer kitchens and bathrooms, with open-plan layouts perfect for relaxation and entertainment. Enhanced security is provided through a secure entry-phone system, and residents benefit from covered parking spaces and efficient waste management. The building’s thoughtful configuration emphasizes exclusivity and privacy, while its tranquil location offers quick access to major roads. The building epitomizes modern luxury, blending visionary design with lavish interiors for an unparalleled contemporary living experience.",34.9473391,33.5955007,,,
7279,51,Apartment,Covered,Under construction,Unfurnished,"Pool, Balcony","Full, all rooms",,A,1,3241,1,1-bedroom apartment fоr sаle,"Larnaca, Pyla",4953384,Posted: 24.09.2025 09:06,165300,3241,Cyprus Sothebys International Realty,"Posting since sep, 2022","Welcome to a unique gated development located in the tranquil and developing area of Pyla in Larnaca, just 20 minutes’ drive from the magnificent sandy beaches of the popular resort of Agia Napa and Larnaca International Airport, making this project an ideal holiday destination..The project occupies a generous plot of land, which seamlessly accommodates three interconnected blocks of 1-3 bedroom apartments. A distinctive feature of this complex are the beautifully landscaped gardens and a cosy lounge area with a communal swimming pool, creating a resort-like atmosphere. A covered car park is conveniently located in a designated area of the complex, effectively separating vehicle traffic from residential areas. In accordance with modern energy consumption standards, the project includes photovoltaic panels to provide electricity for the entire property..Each unit features modern open-plan living and dining areas, thoughtfully designed bedrooms and contemporary bathrooms. The ground floor apartments have spacious garden areas with the option of private pools and/or Jacuzzis, as well as private entrances..In this remarkable development, where architectural craftsmanship blends seamlessly with luxurious comfort and sets a new standard of excellence, you will have an unparalleled experience of modern resort living.",34.996708,33.680123,,,
002214414,55,Apartment,,Brand new,,,,,A,1,2909,1,1-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5973710,Posted: 24.09.2025 09:05,160000,2909,Sabbianco Properties,"Posting since sep, 2017","Πωλείται ετοιμοπαράδοτο διαμέρισμα 1+1 υπνοδωματίου στην περιοχή Metropolis Mall – Αραδίππου – επαρχία Λάρνακας, με 55 τ.μ. εσωτερικό χώρο, 32 τ.μ. καλυμμένες βεράντες στον 2ο όροφο τριώροφης πολυκατοικίας με 11 διαμερίσματα στο σύνολο. Αποτελείται από ενιαία κουζίνα μαζί με το σαλόνι και ένα χώρο υγιεινής. Διαθέτει πρόνοιες συστημάτων κλιματισμού, ένα καλυμμένο χώρο στάθμευσης και αποθήκη. Το διαμέρισμα βρίσκεται σε κεντρική τοποθεσία, κοντά σε υπηρεσίες, παιδικούς σταθμούς και σχολεία, είναι υψηλών προδιαγραφών και αρχιτεκτονικού σχεδιασμού και κατέχει Πιστοποιητικό Ενεργειακής Απόδοσης Α’. Τιμή πώλησης 160.000 ευρώ πλέον Φ.Π.Α.",34.94426819935946,33.59443187713623,,,
002205293,77,Penthouse,,Under construction,,,,,N/A,2,2727,2,2-bedroom penthouse fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5915048,Posted: 24.09.2025 09:05,210000,2727,Sabbianco Properties,"Posting since sep, 2017","Πωλείται υπό ανέγερση ρετιρέ διαμέρισμα δύο υπνοδωματίων στην Αραδίππου – επαρχία Λάρνακας, με 77 τ.μ. καλυμμένο εσωτερικό χώρο, 15 τ.μ. καλυμμένη βεράντα και 70 τ.μ. κήπο οροφής στον 2ο όροφο διώροφης πολυκατοικίας με 7 διαμερίσματα στο σύνολο. Διαθέτει ενιαίο χώρο κουζίνας/τραπεζαρίας και σαλονιού, δύο χώρους υγιεινής εκ των οποίων ιδιωτικό μπάνιο (en-suite) στο κυρίως υπνοδωμάτιο, ηλιακό θερμοσίφωνα, πρόνοια σύστηματος κλιματισμού, αποθήκη και καλυμμένο χώρο στάθμευσης. Το κτίριο θα κατασκευαστεί με πρώτης τάξεως υλικά και είναι ενεργειακής κλάσης Α’. Βρίσκεται σε προνομιακή τοποθεσία, κοντά σε υπηρεσίες όπως σχολείο, αστυνομικό σταθμό, γυμναστήρια, Metropolis Mall, σούπερμαρκετ και καταστήματα με εύκολη πρόσβαση στο κέντρο πόλης και στον αυτοκινητόδρομο Λευκωσίας, Λεμεσού και Αγίας Νάπας. Τιμή πώλησης 210,000 ευρώ πλέον Φ.Π.Α.",34.94426819935946,33.59443187713623,,,
est-002187537,72,Apartment,,Under construction,Unfurnished,Storage room,No,,A,2,2292,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5855578,Posted: 24.09.2025 09:04,165000,2292,Sabbianco Properties,"Posting since sep, 2017","Πωλείται υπό ανέγερση διαμέρισμα δύο υπνοδωματίων στην Αραδίππου – επαρχία Λάρνακας, με 72 τ.μ. καλυμμένο εσωτερικό χώρο και 8 τ.μ. καλυμμένη βεράντα στον 1ο όροφο τριώροφης πολυκατοικίας με 12 διαμερίσματα στο σύνολο. Διαθέτει ενιαίο χώρο κουζίνας/τραπεζαρίας και σαλονιού, δύο χώρους υγιεινής, ηλιακό θερμοσίφωνα, κοινόχρηστο σύστημα φωτοβολταικών, πρόνοια κεντρικής θέρμανσης, πρόνοια σύστηματος κλιματισμού, πρόνοια φόρτισης ηλεκτρικού οχήματος, σύστημα πιεστικό νερού, θυροτηλεόραση στην είσοδο, πρόνοια γυμναστήριου, πρόνοια πάρκου, αποθήκη και καλυμμένο χώρο στάθμευσης. Το κτίριο θα κατασκευαστεί με πρώτης τάξεως υλικά και είναι ενεργειακής κλάσης Α’. Βρίσκεται πολύ κοντά σε υπηρεσίες όπως σούπερμαρκετ, σχολεία, πάρκα, Metropolis Mall με εύκολη πρόσβαση στο κέντρο πόλης και στον αυτοκινητόδρομο Λευκωσίας, Λεμεσού και Αγίας Νάπας. Τιμή πώλησης 165,000 ευρώ πλέον Φ.Π.Α.",34.94426819935946,33.59443187713623,,,
,185,Penthouse,Covered,Resale,Semi-Furnished,"Garden, Elevator, Balcony, Storage room","Full, all rooms",2022,A,2,2000,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Kamares",5951269,Posted: 24.09.2025 08:23,370000,2000,Ανδρέας Αβραάμ,"Posting since sep, 2019","This spacious 2 bedroom, 2 bathroom semi-furnished penthouse with title deeds offers both comfort and flexibility. The additional room is fully enclosed and can easily serve as a home office, guest room, or extra living space. The open-plan design creates a bright, airy atmosphere, while the private roof garden is an entertainer's dream, complete with a barbecue area, extra shower and toilet provisions. Enjoy breathtaking views, perfect for unwinding or hosting guests. With essential furnishings already in place, this penthouse provides a seamless blend of convenience, modern living, and outdoor luxury. Ideal for those looking for a move in ready home with extra perks. Two kilowatt photovoltaic panels included.",34.91329708913858,33.59476815909147,4th,No,6041
234077,95,Apartment,Covered,Under construction,,"Storage room, Elevator, Balcony",,,A,3,2232,,3-bedroom apartment fоr sаle,"Larnaca, Kiti",6008588,Posted: 24.09.2025 07:24,212000,2232,MySpace Real Estate,"Posting since may, 2023","3-Bedroom Apartment – Spacious Family Comfort.Living & Dining.The apartment opens into an expansive living and dining space, designed to accommodate family life and social gatherings. Large openings ensure abundant light, while sliding doors connect directly to a broad veranda for outdoor living..Kitchen.Generous in size, the kitchen is crafted with premium finishes and ample storage. Its central position allows easy interaction with both the dining and living areas, making it a true hub of the home..Master Suite.The master bedroom is a luxurious private retreat with parquet flooring, a built-in wardrobe, and an en-suite bathroom. Its layout combines privacy with elegance, offering direct views of the surrounding neighborhood..Additional Bedrooms.Two further bedrooms provide flexibility—ideal for children, extended family, or as multipurpose spaces. Each room is bright, well-proportioned, and finished with attention to detail..Bathrooms.Alongside the master en-suite, a family bathroom and guest WC (in some layouts) offer convenience and functionality, all styled with refined finishes..Balcony.The wide covered veranda becomes a natural outdoor living room, perfect for family meals, entertaining, or quiet evenings..Extras.Covered parking, private storage, solar systems, EV charger provision, and thermal insulation highlight the home’s blend of comfort, efficiency, and style.",,,,,7550
237087,75,Apartment,Covered,Under construction,,"Storage room, Elevator, Alarm, Balcony",,,A,2,3000,2,2-bedroom apartment fоr sаle,"Larnaca, Kiti",6008591,Posted: 24.09.2025 07:24,225000,3000,MySpace Real Estate,"Posting since may, 2023","2-Bedroom Apartment – Spacious Comfort for Modern Families.Living & Dining.The heart of the apartment is its open-plan living and dining area, designed to accommodate both everyday family life and entertaining. Expansive windows fill the space with natural light, while a large veranda creates an inviting outdoor extension of the home..Kitchen.The kitchen is crafted for functionality and style, with high-quality cabinetry, generous counter space, and premium finishes. Positioned at the center of the home, it serves as a natural gathering place for cooking and socializing..Master Suite.The master bedroom is a refined private haven, featuring parquet flooring, a built-in wardrobe, and an en-suite bathroom. Its spacious layout ensures privacy and comfort, while windows provide brightness and views of the surrounding neighborhood..Second Bedroom.The second bedroom is versatile—perfect as a child’s room, guest bedroom, or home office. Its design ensures flexibility without compromising comfort..Bathrooms.In addition to the master en-suite, a well-appointed family bathroom is included, finished with contemporary tiling and stylish fittings..Balcony.A generous veranda enhances the apartment’s appeal, providing a perfect spot for outdoor dining, family gatherings, or evening relaxation..Extras.Private covered parking, individual storage space, and energy-efficient design make this 2-bedroom apartment a practical yet elegant choice for families or couples seeking extra space.",,,,,
237088,55,Apartment,Covered,Under construction,,"Storage room, Elevator, Alarm, Balcony",,,A,1,3091,1,1-bedroom apartment fоr sаle,"Larnaca, Kiti",6008609,Posted: 24.09.2025 07:24,170000,3091,MySpace Real Estate,"Posting since may, 2023","1-Bedroom Apartment – Cozy Modern Living in Kiti.Living & Dining.The apartment opens into a welcoming open-plan living and dining area, thoughtfully designed to feel both stylish and functional. Large windows bring in natural light, while sliding doors extend the space onto a private veranda—perfect for relaxing, dining outdoors, or enjoying the quiet village surroundings..Kitchen.The kitchen blends practicality with modern design, featuring sleek cabinetry, durable countertops, and high-quality finishes. Compact yet efficient, it is ideal for preparing meals while staying connected to the living area..Bedroom.The bedroom is a comfortable private retreat, finished with parquet flooring and a built-in wardrobe. Its layout ensures both comfort and practicality, while the natural light creates a bright and airy atmosphere..Bathroom.A modern bathroom completes the apartment, designed with premium tiling, stylish fixtures, and a practical layout that balances functionality with refinement..Extras.Private parking, storage, and energy-efficient systems add to everyday comfort. This 1-bedroom apartment is ideal for professionals, couples, or investors looking for a contemporary home in an authentic village setting.",,,,,
239570,80,Apartment,No,Resale,,Storage room,"Full, all rooms",2025,A,2,3313,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",6008610,Posted: 24.09.2025 07:24,265000,3313,MySpace Real Estate,"Posting since may, 2023","Modern two-bedroom penthouse located in the quiet and well-established area of Kamares, Larnaca. Situated on the top floor of a well-maintained building, this property offers privacy, comfort, and easy access to all essential amenities..The apartment features a spacious open-plan living and dining area, a fully equipped kitchen, two comfortable bedrooms, and a family bathroom. Large windows provide plenty of natural light throughout the space..One of the key highlights is the private veranda, offering open views of the surrounding area — perfect for relaxing, entertaining guests, or enjoying your morning coffee..Additional features include air conditioning, covered parking, and elevator access. The location provides quick access to supermarkets, schools, the city center, and the Larnaca highway..This penthouse is an excellent choice for residential living or investment.",,,,,6040
,154,Penthouse,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room","Full, all rooms",2025,A,2,1558,2,2-bedroom penthouse fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5250415,Posted: 24.09.2025 07:23,240000,1558,Michalis,"Posting since may, 2024","🏡 Brand New Luxury 2 bedroom apartment with private roof garden for sale in Aradippou, Larnaca (Under construction).📅 Completion: November 2025.Excellent location: Near and opposite to green area.📍 Convenient location: Near Metropolis mall Larnaca, New Hospital, Supermarket, Schools, Cafes and many other amenities..Flat 301 (Third Floor) :.✅ 2 Bedrooms.✅ 2 Bathrooms (inlcuding 1 en-suite).✅ Total Area = 99 square meter (79 square meter Internal area + 20 square meter Covered balcony).✅ Roof Garden 43square meter. Can be accessed either by internal winder stairs or the elevator.✅ Solar Panels 3Kw.✅ Private Parking Covered.✅ Storage Room 4m",34.93075619248829,33.59595040469361,3rd,No,7104
27085,78,Apartment,Covered,Under construction,,"Pool, Storage room, Elevator","Full, all rooms",,A,2,3462,3,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Chrysopolitissa",6008577,Posted: 24.09.2025 07:23,270000,3462,KAZO REAL ESTATES,"Posting since apr, 2017","For sale is a modern, under-construction apartment located on the top floor of a secure building with an elevator in the desirable area of Livadia. With an internal space of 78 square meter, this bright home offers two comfortable bedrooms and three stylish bathrooms, making it ideal for both families and professionals seeking extra space..Livadia is a sought-after neighborhood known for its blend of tradition and modern convenience. Residents enjoy access to local shops, schools, parks, and a variety of dining options. The area offers a welcoming community atmosphere with everything you need close by..This apartment features energy efficiency class A, ensuring low utility costs and a sustainable lifestyle. Modern finishes, open-plan living, and large windows create a pleasant and inviting space. The building is complemented by a communal swimming pool, perfect for relaxation and socializing..The location is very convenient, just moments from the highway for easy commuting, and within walking distance to amenities. This is a unique opportunity to secure a stylish new home in a prime setting. For further details or to arrange a viewing, contact Kazo Real Estate today. Completion in 2026.",34.95440204928006,33.62476413855839,2nd,No,7060
178050,191,Apartment,Covered,Under construction,Unfurnished,,No,,A,2,1492,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",6008574,Posted: 24.09.2025 07:22,285000,1492,DOM Real Estate,"Posting since jul, 2019","For sale a penthouse with a roof garden in a new residential complex in Livadia, Larnaca. The complex consists of two floors and includes a total of 16 apartments: 8 double and 8 single. Each apartment has a stylish open-plan kitchen and living room and a spacious covered veranda. Only high-quality modern materials and plumbing are used in construction and decoration.This energy-efficient complex is rated ""A"", which significantly reduces utility costs. The project also provides parking and a storage room for each apartment. Residents have access to a private swimming pool and gym.The complex is located in a quiet area with quick access to the main road. Near schools, shops, cafes, pharmacy. Just 5 minutes to the beach, 25 minutes to Ayia Napa, 3 minutes to Land of Tomorrow. Near Livadia Regional School. Apartments are an excellent option for both living and investment.The project is in the off-plan stage.",,,,Yes,4102
178010,62,Apartment,Covered,Under construction,Unfurnished,,No,,A,1,2419,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",6008575,Posted: 24.09.2025 07:22,150000,2419,DOM Real Estate,"Posting since jul, 2019","Apartment for sale in a new residential complex in Livadia, Larnaca. The complex consists of two floors and includes a total of 16 apartments: 8 double and 8 single. Each apartment has a stylish open-plan kitchen and living room and a spacious covered veranda. Only high-quality modern materials and plumbing are used in construction and decoration.This energy-efficient complex is rated ""A"", which significantly reduces utility costs. The project also provides parking and a storage room for each apartment. Residents have access to a private swimming pool and gym.The complex is located in a quiet area with quick access to the main road. Near schools, shops, cafes, pharmacy. Just 5 minutes to the beach, 25 minutes to Ayia Napa, 3 minutes to Land of Tomorrow. Near Livadia Regional School. Apartments are an excellent option for both living and investment. The project is in the off-plan stage.",,,,Yes,4102
177957,153,Apartment,Covered,Under construction,Unfurnished,,"Full, all rooms",,A,2,1830,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",6008564,Posted: 24.09.2025 07:21,280000,1830,DOM Real Estate,"Posting since jul, 2019","Apartment for sale in a new residential complex in the area of Aradippou, Larnaca. The complex consists of three floors and includes only 9 apartments. There is a roof garden.Each apartment has a spacious open-plan kitchen, living and dining area, luxurious design and spacious balconies. Only high-quality modern materials and plumbing are used in construction and decoration. High-quality ceramic floor tiles from Spain. Built-in kitchens from Belgium. The main entrances are equipped with an intercom system. Solar panels, water tanks and a pressurized water supply system will be installed for each apartment.This energy-efficient complex is rated ""A"", which significantly reduces utility costs. A photovoltaic system is installed in some apartments.The project also provides covered parking and a spacious storage room for each apartment.A variety of infrastructure is nearby, including shops and restaurants, and the sea is just a few minutes away.",,,,Yes,4102
177955,61,Apartment,Covered,Under construction,Unfurnished,,"Full, all rooms",,A,1,2869,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",6008565,Posted: 24.09.2025 07:21,175000,2869,DOM Real Estate,"Posting since jul, 2019","Apartment for sale in a new residential complex in the area of Aradippou, Larnaca. The complex consists of three floors and includes only 9 apartments.Each apartment has a spacious open-plan kitchen, living and dining area, luxurious design and spacious balconies. Only high-quality modern materials and plumbing are used in construction and decoration. High-quality ceramic floor tiles from Spain. Built-in kitchens from Belgium. The main entrances are equipped with an intercom system. Solar panels, water tanks and a pressurized water supply system will be installed for each apartment.This energy-efficient complex is rated ""A"", which significantly reduces utility costs. A photovoltaic system is installed in some apartments.The project also provides covered parking and a spacious storage room for each apartment.A variety of infrastructure is nearby, including shops and restaurants, and the sea is just a few minutes away.",,,,Yes,4102
27083,102,Apartment,Covered,Under construction,,"Storage room, Elevator","Full, all rooms",,N/A,3,9510,3,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",6008516,Posted: 24.09.2025 07:19,970000,9510,KAZO REAL ESTATES,"Posting since apr, 2017","For sale: This modern apartment under construction offers a comfortable lifestyle in the desirable area of Mckenzie. With a total internal space of 102 square meter, the layout includes three spacious bedrooms and three bathrooms, ensuring plenty of room for families or anyone who enjoys extra space. Located on the fifth floor of a well-designed seven-story building, this residence features an elevator for easy access..The apartment has been planned with energy efficiency in mind and boasts an A+ energy rating, helping you save on utility bills. Large windows provide excellent natural light to every room, while the modern construction ensures a fresh, welcoming environment..Mckenzie is well-known for its vibrant atmosphere and mix of residential and leisure areas. The neighborhood is popular for its beautiful beaches, cafes, and restaurants, making it a sought-after location for both permanent residents and investors. Daily amenities, shops, and public transport are all within easy reach, and direct access to the highway allows for effortless commuting..Expected to be completed in 2026, this opportunity is ideal for buyers seeking a modern home in a prime area. Presented by Kazo Real Estate, contact us today to learn more or arrange a viewing.",34.89892108185848,33.6382928428107,5th,No,6022
27084,85,Apartment,Covered,Under construction,,"Storage room, Elevator","Full, all rooms",,A,2,3941,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",6008517,Posted: 24.09.2025 07:19,335000,3941,KAZO REAL ESTATES,"Posting since apr, 2017","For sale is a modern apartment under construction, offering a comfortable internal space of 84.6 square meter. Located on the top floor with convenient elevator access, this residence features two bedrooms and two bathrooms, perfect for both families and professionals seeking a stylish lifestyle..Situated in Agios Nikolaos, a vibrant area known for its blend of tranquility and city comforts, you are surrounded by tree-lined streets, charming cafés, and local shops. The neighborhood is well-known for its welcoming community atmosphere, making it an ideal place to call home..This apartment is designed for energy efficiency with an A rating, ensuring lower utility costs and a reduced environmental footprint. With a planned completion in 2027, the property promises modern architectural lines, quality finishes, and thoughtful layouts..Its prime location means easy access to the highway and close proximity to all daily amenities, including supermarkets, schools, and parks. This property is a wonderful opportunity for modern living in a highly desirable area..Contact Kazo Real Estate today to learn more or arrange a consultation.",34.91572237428373,33.619867649572,4th,No,6036
480091015-116,19,Apartment,,Under construction,,Storage room,,,A,2,29737,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Finikoudes",5825521,Posted: 24.09.2025 06:35,565000,29737,REMAX CYPRUS,"Posting since apr, 2017","Discover a New Standard of Luxury Living in Larnaca!.Step into a world of sophistication, comfort, and innovation with this exclusive residential development in the heart of Larnaca. Designed for individuals who appreciate modern elegance, smart living, and exceptional investment potential, this project seamlessly integrates cutting-edge technology with contemporary design to offer an unmatched living experience..Strategically positioned in one of Larnacas most desirable areas, this development provides stunning panoramic views of the Mediterranean Sea and the iconic Salt Lake. Whether enjoying the scenery from your private balcony or exploring the vibrant surroundings, residents benefit from:.✔ Proximity to luxury restaurants, designer boutiques, and cultural attractions.✔ Easy access to beautiful beaches, marinas, and recreational facilities.✔ A peaceful yet well-connected urban setting, combining exclusivity with convenience.Exquisite Apartment Features.This 2-bedroom, 2-bathroom apartment is located on the 6th floor, offering a spacious 87 sq. m. internal area and an additional 19 sq. m. balcony, perfect for enjoying breathtaking views..Inside, the residence is designed with sophisticated finishes, high-end materials, and smart home integration, ensuring a lifestyle of comfort and convenience..Contact us today to schedule a private viewing and secure your place in this extraordinary development!",34.91788916,33.63018172,,,
